暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-36(1),628-36,R1,a,947.97,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,左側,33.25,17.51,98.72,17.56,575.63,575.74,17.56,left,幾何二分法,18,✅,0.3927,17.5,
628-35(2),628-35,R1,b,1039.0,2893.55,87.31,32.97,2.0429,0.0,1.0,否,否,—,33.25,35.97,1.27,18.52,613.97,613.84,36.08,left,幾何二分法,17,✅,0.4092,18.46,
628(5),628,R1,a,382.91,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,右側,33.27,9.77,69.99,9.8,223.4,223.44,9.8,right,幾何二分法,15,✅,0.4165,9.77,
628-34(3),628-34,R1,b,152.34,2893.55,87.31,32.97,2.0429,0.0,1.0,否,否,—,33.27,12.37,11.5,2.61,86.47,86.58,12.41,right,幾何二分法,16,✅,0.4317,2.6,⚠️移出/第1調配順位
628-37(1),628-37,R1,a,350.76,2893.55,87.31,32.97,1.7364,0.0,1.0,否,否,—,33.27,18.94,18.52,6.59,218.34,218.47,19.0,right,幾何二分法,13,✅,0.3772,6.57,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1170.41,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.33,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628-42(1),628-42,R2,b,8.34,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,7.13,0.57,0.11,4.94,4.77,7.15,left,幾何二分法,18,✅,0.4281,0.11,⚠️移出/第1調配順位
628-41(1),628-41,R2,b,319.3,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,11.2,20.16,4.08,183.18,183.24,11.23,left,幾何二分法,10,✅,0.4261,4.07,
628-27(1),628-27,R2,b,51.32,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,11.86,2.83,0.66,29.62,29.61,11.89,left,幾何二分法,16,✅,0.423,0.66,⚠️移出/第1調配順位
628-40(1),628-40,R2,b,513.48,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,18.52,20.6,6.68,299.53,299.31,18.57,left,幾何二分法,17,✅,0.4171,6.66,
628-43(1),628-43,R2,b,0.45,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,18.53,0.0,0.01,0.45,0.27,18.58,left,幾何二分法,16,✅,0.4,0.01,⚠️移出/第1調配順位
628-30(2),628-30,R2,b,150.3,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,20.53,0.0,2.01,90.04,89.98,20.59,left,幾何二分法,12,✅,0.4013,2.0,⚠️移出/第1調配順位
628-39(1),628-39,R2,b,395.15,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,25.8,0.0,5.28,236.34,236.54,25.87,left,幾何二分法,18,✅,0.4014,5.27,
628-31(2),628-31,R2,b,654.32,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,34.54,0.0,8.76,391.51,391.66,34.63,left,幾何二分法,17,✅,0.4014,8.74,
628-35(1),628-35,R2,b,98.54,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.34,58.99,58.95,1.34,right,幾何二分法,15,✅,0.4018,1.34,⚠️移出/第1調配順位
628-34(1),628-34,R2,b,722.28,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.8,431.93,432.11,11.14,right,幾何二分法,18,✅,0.4017,9.78,
628-49(1),628-49,R2,b,109.39,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.48,65.31,65.45,12.62,right,幾何二分法,17,✅,0.4017,1.48,⚠️移出/第1調配順位
628-50(1),628-50,R2,b,246.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.33,147.03,147.18,15.95,right,幾何二分法,16,✅,0.4017,3.32,⚠️移出/第1調配順位
628-51(1),628-51,R2,b,245.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.32,146.69,146.59,19.27,right,幾何二分法,16,✅,0.4017,3.31,⚠️移出/第1調配順位
628-52(1),628-52,R2,b,119.66,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.62,71.62,71.6,20.89,right,幾何二分法,16,✅,0.4016,1.62,⚠️移出/第1調配順位
628-32(2),628-32,R2,b,730.37,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.87,436.9,437.02,30.76,right,幾何二分法,17,✅,0.4016,9.85,
R2-抵費地-1,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1540.74,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R2-抵費地-2,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,233.79,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R2-抵費地-3,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,0.45,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,2428.44,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,左側,33.27,46.87,100.0,46.92,1520.95,1521.05,46.92,left,幾何二分法,17,✅,0.3737,46.87,
628-1(1),628-1,R4,a,757.92,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,右側,33.08,14.79,90.57,14.81,457.06,456.93,14.81,right,幾何二分法,16,✅,0.3971,14.79,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1229.86,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628(2),628,R6,a,11.49,3976.3,85.85,44.59,1.5628,2.0,0.0,否,否,—,0.0,0.0,0.0,0.16,7.6,7.37,0.16,left,幾何二分法,17,✅,0.3586,0.16,⚠️移出/第1調配順位
628-1(2),628-1,R6,a,227.41,3976.3,85.85,44.59,1.5628,2.0,0.0,否,否,—,0.0,0.0,0.0,3.07,145.64,145.82,3.23,left,幾何二分法,18,✅,0.3588,3.06,⚠️移出/第1調配順位
628-23(1),628-23,R6,b,118.41,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.5,70.99,71.03,4.73,left,幾何二分法,17,✅,0.4001,1.5,⚠️移出/第1調配順位
628-4(1),628-4,R6,b,1154.0,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,14.75,692.08,692.05,19.48,left,幾何二分法,16,✅,0.4003,14.7,
628-22(1),628-22,R6,b,253.91,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.28,152.43,152.21,22.76,left,幾何二分法,15,✅,0.4005,3.27,⚠️移出/第1調配順位
628-21(1),628-21,R6,b,351.16,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,4.55,210.56,210.48,27.31,left,幾何二分法,17,✅,0.4006,4.54,
628-18(1),628-18,R6,b,551.09,3976.3,85.85,44.59,1.8386,2.0,1.0,是,是,右側,43.38,10.39,72.91,10.43,295.7,295.59,10.43,right,幾何二分法,16,✅,0.4636,10.4,
628-53(1),628-53,R6,b,0.44,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,10.4,0.03,0.01,0.44,0.25,10.44,right,幾何二分法,17,✅,0.4318,0.01,⚠️移出/第1調配順位
628-38(1),628-38,R6,b,205.6,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,13.11,11.47,2.72,118.74,118.61,13.16,right,幾何二分法,17,✅,0.4231,2.71,⚠️移出/第1調配順位
628-7(1),628-7,R6,b,522.97,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,20.08,15.58,6.99,306.85,306.92,20.15,right,幾何二分法,11,✅,0.4131,6.97,
628-20(1),628-20,R6,b,570.15,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,27.76,0.0,7.71,341.28,341.15,27.86,right,幾何二分法,14,✅,0.4016,7.69,
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1548.29,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.71,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-3,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,0.44,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628-53(2),628-53,R5,b,2.78,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,6.68,0.2,0.04,1.75,1.54,6.71,left,幾何二分法,16,✅,0.446,0.04,⚠️移出/第1調配順位
628-18(2),628-18,R5,b,381.09,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,11.52,24.07,4.86,212.87,212.98,11.57,left,幾何二分法,18,✅,0.4411,4.84,
628-45(1),628-45,R5,b,92.71,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,12.7,4.87,1.19,52.29,52.19,12.76,left,幾何二分法,18,✅,0.4371,1.18,⚠️移出/第1調配順位
