| 宗地 | 情境 | 所屬街廓 | G(㎡) | 驗_B藍影 |
|---|---|---|---|---|
| `628-42(1)` | `0m` | `R2` | 0.23 | `不合格` |
| `628-53(2)` | `0m` | `R5` | 0.00 | `不合格` |
| `628-27(1)` | `0m` | `R2` | 29.26 | `不適用` |
| `628-42(2)` | `0m` | `R3` | 89.96 | `合格` |
| `628-53(1)` | `0m` | `R6` | 0.26 | `合格` |
| `628-27(2)` | `0m` | `R3` | 26.54 | `不適用` |
| `628-42(1)` | `3.5m` | `R2` | 4.77 | `不適用` |
| `628-53(2)` | `3.5m` | `R5` | 0.00 | `不合格` |
| `628-27(1)` | `3.5m` | `R2` | 29.61 | `不適用` |
| `628-42(2)` | `3.5m` | `R3` | 89.96 | `合格` |
| `628-53(1)` | `3.5m` | `R6` | 0.26 | `合格` |
| `628-27(2)` | `3.5m` | `R3` | 26.54 | `不適用` |
判定集基數 ＝ **12** 格
